mode,seed,coverage,center_free_coverage,n_elites,qd_score,normalized_qd,mean_fitness,max_fitness,generations,evaluations,receipt_count,receipts_valid,test_count_at_seed_start,summary_path,summary_sha256
full,7,0.898681640625,0.9810108908126222,3681,3186.796766208443,0.7780265542501081,0.8657421261093298,0.9876177176596302,500,48256,504,True,59,/home/user/workspace/octopus_qd_lab/results/full_seed7/run_summary.json,0bb7e7b5e872281b11edbb1989f902880d96f46a410e94ef6f7be255b81cd618
full,11,0.892822265625,0.9748673554872941,3657,3185.5599390902717,0.7777245945044609,0.8710855726251768,0.990089673348967,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/full_seed11/run_summary.json,54e4785ddb0a06ddd7f7950c2992e5ffda0f2a63523f2510a95627f6d2843fd9
full,23,0.90087890625,0.9840826584752862,3690,3238.0337323119998,0.7905355791777343,0.877515916615718,0.9897309291485765,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/full_seed23/run_summary.json,5ce8f7b79ad64226af2bd1df0164cfb8d75b235b1b248af5b62fa5c00f5bd3e1
mutation,7,0.912841796875,0.9952527227031556,3739,3312.613344815755,0.808743492386659,0.8859623816035719,0.9906830006773005,500,48256,504,True,59,/home/user/workspace/octopus_qd_lab/results/mutation_seed7/run_summary.json,3a79d818b6a8e004549dc56196e724af1cec5d361be95482137de09c0272274d
mutation,11,0.912353515625,0.9952527227031556,3737,3292.1390286164747,0.803744880033319,0.8809577277539402,0.9919524382987163,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/mutation_seed11/run_summary.json,64d6057161686912ccea8dd479c5b54da2cb02fce760d21927edd82f20359407
mutation,23,0.91455078125,0.9966489807316392,3746,3350.2324631387055,0.817927847445973,0.8943492960861467,0.9903996323936398,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/mutation_seed23/run_summary.json,950351eb12bb421cb9f41dd9927cc45bc78912b8e7c2063a35844cfede6ce7e1
random,7,0.604248046875,0.6542865121474448,2475,1847.8752993782973,0.4511414305122796,0.7466162825770898,0.9764403049570515,500,48256,504,True,59,/home/user/workspace/octopus_qd_lab/results/random_seed7/run_summary.json,99e0a745bb58fab1c982a7fb09e2981ed91946c538e8961c1eb0cf4bde976767
random,11,0.600830078125,0.6506562412733873,2461,1832.1347159985862,0.44729851464809234,0.7444675806576945,0.9858184486835595,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/random_seed11/run_summary.json,91bf9185594a8eba306efaa98a97de86be20b90433a5d63320c05a066a12b90f
random,23,0.60498046875,0.6576375314158056,2478,1845.681614782635,0.45060586298404176,0.7448271246096186,0.9756306717356806,500,48256,504,True,67,/home/user/workspace/octopus_qd_lab/results/random_seed23/run_summary.json,92c4c656ad88802ce0b5d73db6072875556f7f58a78c7871e66f4ce825ff241e
