mode,n_runs,coverage,center_free_coverage,n_elites,qd_score,normalized_qd,mean_fitness,max_fitness
full,3,0.8974609375,0.9799869682584008,3676.0,3203.4634792035718,0.7820955759774345,0.8714478717834083,0.9891461067190579
mutation,3,0.9132486979166666,0.9957181420459834,3740.6666666666665,3318.328278856978,0.8101387399553169,0.887089801814553,0.9910116904565522
random,3,0.6033528645833334,0.6541934282788793,2471.3333333333335,1841.8972100531728,0.4496819360481379,0.745303662614801,0.9792964751254306
