"Id","ProcessName","Path"
"28264","node","C:\Program Files\nodejs\node.exe"
"7384","node","C:\Program Files\nodejs\node.exe"
"18700","node","c:\Users\Armin\AppData\Local\Programs\cursor\resources\app\resources\helpers\node.exe"
"4972","NVDisplay.Container",
"2920","NVDisplay.Container",
"8048","ollama","C:\Users\Armin\AppData\Local\Programs\Ollama\ollama.exe"
"17488","ollama app","C:\Users\Armin\AppData\Local\Programs\Ollama\ollama app.exe"
"5308","OneApp.IGCC.WinService",
"19356","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"9560","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"420","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"13712","OpenVPNConnect","C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe"
"14648","OpenVPNConnect","C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe"
"11712","OpenVPNConnect","C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe"
"12972","OpenVPNConnect","C:\Program Files\OpenVPN Connect\OpenVPNConnect.exe"
"5660","ovpnhelper_service",
"25728","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.EXE"
"26360","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"7452","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"16784","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe"
"2404","PresentationFontCache",
"22584","python","C:\Program Files\Python313\python.exe"
"21908","python","C:\Program Files\Python313\python.exe"
"25636","python","C:\Program Files\Python313\python.exe"
"22936","python","C:\Program Files\Python313\python.exe"
"11992","python","C:\Program Files\Python313\python.exe"
"2324","python","C:\Program Files\Python313\python.exe"
"19176","python","C:\Program Files\Python313\python.exe"
"17088","python","C:\Program Files\Python313\python.exe"
"232","Registry",
"7028","remoting_host",
"5116","remoting_host",
"5768","RstMwService",
"5700","RtkAudUService64",
"20688","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"16948","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"26972","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"23868","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"13084","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"5920","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"14824","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"13532","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe"
"12824","SearchHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"
"13408","SearchIndexer",
"188","Secure System",
"6652","SecurityHealthService",
"1596","services",
"27884","sh","C:\Program Files\Git\usr\bin\sh.exe"
"3556","ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"656","ShellHost","C:\Windows\System32\ShellHost.exe"
"2772","sihost","C:\WINDOWS\system32\sihost.exe"
"1176","smss",
"29956","SnippingTool","C:\Program Files\WindowsApps\Microsoft.ScreenSketch_11.2605.37.0_x64__8wekyb3d8bbwe\SnippingTool\SnippingTool.exe"
"4848","spoolsv",
"12832","StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"6124","svchost",
"6200","svchost",
"5996","svchost",
"5844","svchost",
"5892","svchost","C:\WINDOWS\system32\svchost.exe"
"6824","svchost","C:\WINDOWS\system32\svchost.exe"
"8268","svchost",
"8592","svchost",
"7916","svchost",
"7116","svchost",
"7540","svchost",
"4728","svchost",
"4736","svchost",
"4712","svchost",
"4560","svchost",
"4700","svchost",
"5032","svchost",
"5816","svchost",
"5828","svchost",
"5776","svchost",
"5336","svchost",
"5464","svchost",
"8796","svchost",
"16320","svchost",
"16736","svchost",
"16208","svchost",
"14468","svchost",
"15148","svchost",
"17748","svchost","C:\WINDOWS\system32\svchost.exe"
"24320","svchost",
"27776","svchost",
"23896","svchost","C:\WINDOWS\system32\svchost.exe"
"18028","svchost",
"22488","svchost","C:\WINDOWS\System32\svchost.exe"
"9800","svchost",
"10272","svchost",
"9444","svchost",
"9024","svchost",
"9284","svchost",
"10404","svchost",
"12792","svchost",
"13096","svchost","C:\WINDOWS\system32\svchost.exe"
"12244","svchost",
"11376","svchost","C:\WINDOWS\system32\svchost.exe"
"11404","svchost",
"4400","svchost",
"2332","svchost",
"2412","svchost",
"2296","svchost",
"2240","svchost",
"2268","svchost",
"2416","svchost",
"2748","svchost",
"3028","svchost",
"2692","svchost",
"2476","svchost",
"2576","svchost",
"1768","svchost",
"1784","svchost",
"1580","svchost",
"796","svchost",
"1340","svchost",
"1940","svchost",
"2136","svchost",
"2228","svchost",
"2128","svchost",
"1992","svchost",
"2120","svchost",
"3136","svchost",
"4016","svchost",
"4064","svchost",
"3868","svchost","C:\WINDOWS\system32\svchost.exe"
"3844","svchost",
"3856","svchost",
"4108","svchost",
"4224","svchost",
"4376","svchost","C:\WINDOWS\system32\svchost.exe"
"4208","svchost",
"4120","svchost",
"4200","svchost",
"3180","svchost",
"3392","svchost",
"3168","svchost",
"3152","svchost",
"3160","svchost",
"3440","svchost",
"3664","svchost",
"3828","svchost",
"3620","svchost",
"3528","svchost",
"3560","svchost",
"4","System",
"10884","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"8456","taskhostw","C:\WINDOWS\system32\taskhostw.exe"
"16080","TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe"
"15744","UDClientService",
"13340","unsecapp","C:\WINDOWS\system32\wbem\unsecapp.exe"
"11596","unsecapp",
"8756","unsecapp",
"15708","UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe"
"4756","vmcompute",
"8704","vmmemCmZygote",
"5832","WDDriveService",
"12684","WhatsApp.Root","C:\Program Files\WindowsApps\5319275A.WhatsAppDesktop_2.2632.100.0_x64__cv1g1gvanyjgm\WhatsApp.Root.exe"
"12936","Widgets","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_526.21100.40.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"
"12572","WidgetService","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.19.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"
"16444","WindowsTerminal","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"
"1476","wininit",
"1568","winlogon",
"9456","wlanext",
"19868","WmiApSrv",
"8244","WmiPrvSE",
"6096","wslservice",
"9644","WUDFHost",
"1892","WUDFHost",
"23092","ZCode","C:\Program Files\ZCode\ZCode.exe"
"23316","ZCode","C:\Program Files\ZCode\ZCode.exe"
"22868","ZCode","C:\Program Files\ZCode\ZCode.exe"
"23072","ZCode","C:\Program Files\ZCode\ZCode.exe"
"27712","ZCode","C:\Program Files\ZCode\ZCode.exe"
"30028","ZCode","C:\Program Files\ZCode\ZCode.exe"
