repository,branch,head_sha,protected
ari-OCTOPUS/ofn-node,docs/skill-business-legs-wiring-2026-09-03,dfc67e771f5f3796f4ee917193ebc4682752abda,false
ari-OCTOPUS/ofn-node,docs/waiver-rescope-addendum-20260902,64ccc9df6a62aacfa6e123a4fabead273cfbe1a4,false
ari-OCTOPUS/ofn-node,evidence/vault-scan-f-drive-20260902,6449b490be4987bffd6f63e3053330310949be45,false
ari-OCTOPUS/ofn-node,export/observatory-fixture-20260830,fa2a4c16e2915e82a374a079c8aff7f8f9109799,false
ari-OCTOPUS/ofn-node,export/octopus-a702-delta-20260901,a9959755f762ad8c0dffdfc3e2adfcd64bfc8696,false
ari-OCTOPUS/ofn-node,export/octopus-surgery-20260830,526613e2483f8cfe572cfd3f96ed57766690bb02,false
ari-OCTOPUS/ofn-node,export/octopus-surgery-20260830-193052,59ea2fb1fd6397a411f7135c4fe41d02a5f462a9,false
ari-OCTOPUS/ofn-node,export/outbox-item1-negatives,c5e5194995cf986315949e9d2bfd58935ebf5ca9,false
ari-OCTOPUS/ofn-node,export/outbox-item1-negatives-v2,9ff4591e3e881ffba5ff15b39fa398cae80af472,false
ari-OCTOPUS/ofn-node,export/restore-drill-20260830,805a0bae50cf3da21f1598748eb4adc43aa3c98a,false
ari-OCTOPUS/ofn-node,feat/110b-capability-token-20260903,eb5cb60c997a2f9ec9313459b4cba59d2025f2c6,false
ari-OCTOPUS/ofn-node,feat/add-woolworths-lead,3bbbb311518d60ae9cc329800c74e836e89d9b3c,false
ari-OCTOPUS/ofn-node,feat/autonomous-source-registry-20260903,a25301c607c4c1f11b6bf6bd562b1de21c84b9d3,false
ari-OCTOPUS/ofn-node,feat/board-doctor-20260903,36485bfcef31c38c62eeb155ff78d42f3a39f6b9,false
ari-OCTOPUS/ofn-node,feat/brainwake-structured-v2,289c2e9dedc169d30f0107a668d11c02d26c8c41,false
ari-OCTOPUS/ofn-node,feat/cognitive-wake-p3-20260904,790e2adbf004b82fedbd533fed935d0e1022efde,false
ari-OCTOPUS/ofn-node,feat/doctor-pulse-20260903,0a21bc3fd56b3583457de9760f41fbb32361907f,false
ari-OCTOPUS/ofn-node,feat/external-witness-20260903,e40b06d338c49c3b7b65c549b4916571c5cea533,false
ari-OCTOPUS/ofn-node,feat/f1-contract-20260903,8292804d2ba7acd47d001bb859b91f4b765c9de6,false
ari-OCTOPUS/ofn-node,feat/gap-066-brain-schema-20260904,63daee773fdb47e42f3a4ec61f20ff27085c34ae,false
ari-OCTOPUS/ofn-node,feat/gap-194-win-lf-20260904,06a2854425182619cf0ea53623ea6c21ff1324c0,false
ari-OCTOPUS/ofn-node,feat/glass-runner-20260903,e1eaf8ce01c21cc8e23eb354dc5abbc9e7e76416,false
ari-OCTOPUS/ofn-node,feat/gov-pack-20260903,a9c4169ebfaa70c657c68833c5c548e016220c51,false
ari-OCTOPUS/ofn-node,feat/halt-run-gate-chaos-20260902,788b76ecc0ef8b0f57d03bb68b6a46d499432510,false
ari-OCTOPUS/ofn-node,feat/leads-batch-13,ceff71d89bf3153cdf0d43ed49b96efb98d0ce61,false
ari-OCTOPUS/ofn-node,feat/leads-master-73,38b8c0b4400d70ba20affc8dfcb84ca15e0a638e,false
ari-OCTOPUS/ofn-node,feat/leads-sync-final,f50e480602bfec247122999388a0d1961db4bc92,false
ari-OCTOPUS/ofn-node,feat/learning-feeder-20260903,95c5f8d73fd2550a59cca91105e2e7abac305f92,false
ari-OCTOPUS/ofn-node,feat/m5-owner-release-20260904,c14ffd02a14496028e6d99f64522893e2ef79ccf,false
ari-OCTOPUS/ofn-node,feat/mega-index-20260903,6e996ab10952b61fee5a1cf4dca00d7364ef445b,false
ari-OCTOPUS/ofn-node,feat/owner-absent-20260903,3d3c82c3759566b35b83a4d8834d848a3beafd2b,false
ari-OCTOPUS/ofn-node,feat/p1-envelope-deadline-mint-20260902,77472613b904e5a5fc018c33a77a6b1632804ab9,false
ari-OCTOPUS/ofn-node,feat/p1-envelope-runstore-20260902,a77494bc2ca7b417b355c05f51f11f2606d186ef,false
ari-OCTOPUS/ofn-node,feat/p1-horizon-cutoff-20260904,2120dc4759c4146f27f15307360f4f83fd90ded4,false
ari-OCTOPUS/ofn-node,feat/p1-load-invariants-20260902,9b89db344900321d80f562f04b32667198b0ad9a,false
ari-OCTOPUS/ofn-node,feat/p1-phase-wall-20260902,8d5068d00098298b0597d632dceee0c7d8a0c641,false
ari-OCTOPUS/ofn-node,feat/p1-task-bind-20260904,fcbeac2ba054347afc2dd277b5927c33c4b40760,false
ari-OCTOPUS/ofn-node,feat/p1-version-compat-20260904,73cf9fefe011b06811359026af71d8c0052514c1,false
ari-OCTOPUS/ofn-node,feat/r0-revenue-spine-20260902,7f8c8dc64ca6b42aecde36ef70b6068b4135d792,false
ari-OCTOPUS/ofn-node,feat/register-strata-hub-source,e5c24537d76811c92728d284e86d615fa767b755,false
ari-OCTOPUS/ofn-node,feat/reply-queue-bridge-20260904,b396853f4af825c7d72504dba524028e3bfb5182,false
ari-OCTOPUS/ofn-node,feat/s2b-A-claim-adapter-20260901,b9e4024e721b391f6fa4fdc9df1cf7e2e31e68aa,false
ari-OCTOPUS/ofn-node,feat/s2b-B-store-hardening-20260901,c10bd7c76d5754e4502fa4915244f0a78fb0d470,false
ari-OCTOPUS/ofn-node,feat/s2b-C-verifier-reach-20260901,8f0df36ae84b743a51cc8979d0e18c4c3dffa927,false
ari-OCTOPUS/ofn-node,feat/s2b-claim-record-20260901,653a4d5b4c6a753e4c9f839ff8f8d3197728dfcf,false
ari-OCTOPUS/ofn-node,feat/shopify-connector-register-20260904,f803e567e4830f7b88a973ffbbf52a6d8734e5cf,false
ari-OCTOPUS/ofn-node,feat/survival-loop-shadow,0d086f199472f5771c40cd799a12bc22609cf28c,false
ari-OCTOPUS/ofn-node,feat/survival-telegram-bridge,684b103bbce9e79ff30fb1c0a58b2d811107c346,false
ari-OCTOPUS/ofn-node,feat/telegram-glass-20260903,75e09c61ec139157292e707c33622130df06011f,false
ari-OCTOPUS/ofn-node,feat/vault-witness-20260903,dd77576c2cbfce827a11968c64bee2071e2cdf24,false
ari-OCTOPUS/ofn-node,feat/ziman-browser-harvester-20260903,8873a0e626b0dc29b80ec8b039979e82eb7e1e28,false
ari-OCTOPUS/ofn-node,feature/b2b-discovery-cleanup,107aa80a2a3dc8d5070ae31d0b5b8f58e8eda8d4,false
ari-OCTOPUS/ofn-node,feature/call-log,a286b6bf2452079300eb770063afde398756a637,false
ari-OCTOPUS/ofn-node,feature/digest-mobile-priority,533f2aeb29905b9b27e7158f3bc267b779c9102f,false
ari-OCTOPUS/ofn-node,feature/j-draft,951bfb954ddc4720851d5f000b113bb1b1da9127,false
ari-OCTOPUS/ofn-node,feature/log-outcome,5fd3ee173f988d0c28572f196f3315b167ceef57,false
ari-OCTOPUS/ofn-node,fix/accounts-100-cap,d599fc61e8192dacea8090379b83767b422b3e86,false
ari-OCTOPUS/ofn-node,fix/buysw-bridge-v03,2aac8f3312e9f144f999c4023a915143a65f1a16,false
ari-OCTOPUS/ofn-node,fix/contradiction-scan,66c62281b3f31497da3813c92576cbe5ee919c59,false
ari-OCTOPUS/ofn-node,fix/d0-blocked-hygiene,f692fa5c83d07b4bf76e523961097ffe289a0720,false
ari-OCTOPUS/ofn-node,fix/debug-sweep-20260904,db811e22cd1b268234ffe5d13f29151eef045fe5,false
ari-OCTOPUS/ofn-node,fix/deep-scan-3fixes,ba67156318c5dc50a105818c8d026a74e5e92b75,false
ari-OCTOPUS/ofn-node,fix/demand-harvest,864a40534ae498d5ff9846eef42a52ed5f5356e2,false
ari-OCTOPUS/ofn-node,fix/digest-direct-variants,704a5f6ae8e9964cd3d9e2c73d136f748b6053ed,false
ari-OCTOPUS/ofn-node,fix/doctor-oneshot-classification-20260903,537171c4482af2bada2d4b47ef413a76eccb2ea3,false
ari-OCTOPUS/ofn-node,fix/doctor-pulse-precision-20260903,0c788099cc5db9b1ee24b9c6324acd4de44e5a3c,false
ari-OCTOPUS/ofn-node,fix/economy-bugbot-3-20260903,efc47ab83f721f73235e432f2a44389fd7ad9cfb,false
ari-OCTOPUS/ofn-node,fix/enrichment-bugs-and-digest-regex,effc8308b6a8cdf357e385eec3c6cb0f16405bb1,false
ari-OCTOPUS/ofn-node,fix/env-independent-tests-20260903,10de2e13f589be56a3d2afba54d79ea9e68133f4,false
ari-OCTOPUS/ofn-node,fix/gate-not-applicable-neutral-20260903,1507461c1dfde0d14b21f9ecc33740eb61cc972c,false
ari-OCTOPUS/ofn-node,fix/heartbeat-live-cap-display-20260903,4e429034c1bf117832bce3997febb68baf3ac7b8,false
ari-OCTOPUS/ofn-node,fix/migration-collision-guard,31f17206b29b60b86d9d8f44905eb67d9e83d143,false
ari-OCTOPUS/ofn-node,fix/opslib-import-boundary,5e3254f77d69b0b203d117c6133731a886bd273d,false
ari-OCTOPUS/ofn-node,fix/outbox-hardening,c03ed2891c1315406b99d3bea8ec2b52ae44912c,false
ari-OCTOPUS/ofn-node,fix/outbox-lossless-guard,b0ca4b8e5b93f91bc7bd2f633b1cd874951de735,false
ari-OCTOPUS/ofn-node,fix/r0-heartbeat-dep-20260903,65eefbd84d1410c6b28becac42a5e902c354ede1,false
ari-OCTOPUS/ofn-node,fix/r0-quote-closure-20260903,fb909887bffe6c507d50cba2e54ce8a18aefb331,false
ari-OCTOPUS/ofn-node,fix/remove-inert-wire-flag-20260903,50fcd669eb55fdfed973d11ea6c711fc97162f24,false
ari-OCTOPUS/ofn-node,fix/s2b-ci-and-fixture,4c8dbc75266ae42123be8418e92258e8b6e06ccd,false
ari-OCTOPUS/ofn-node,fix/self-model-real-services-20260903,713918665dc1340ba138a7d279218099c5d90a8c,false
ari-OCTOPUS/ofn-node,gov/v4-independence-codeowners-20260902,56e068c79238a2c507340886d963906563242222,false
ari-OCTOPUS/ofn-node,gov/v6-two-reviewer-rule-20260903,f7ff2ddad44aeea07562a6c4d6fe761fcf9e9716,false
ari-OCTOPUS/ofn-node,governance/independent-review-gate,b283ae7180d170e908e36bdfe52ccd8e55444a26,false
ari-OCTOPUS/ofn-node,hygiene/agent-context-phase1-20260831,d9cf5c9d790ccbe62835413d4c3b4a5836de2546,false
ari-OCTOPUS/ofn-node,hygiene/audit-20260831,14357e7affa3b4dbd574c21bddc88f54a2060733,false
ari-OCTOPUS/ofn-node,integration/owner-brain-p0-plus-win-20260831,26ed609003c8276f73343694e6f883f9a562a1d4,false
ari-OCTOPUS/ofn-node,landing/release-p0-20260902,2c5b99baa6dd2f0e39d564eec5f9f1d1a4636887,false
ari-OCTOPUS/ofn-node,lane/economic-learning-loop,9237ccfe5696c390e65b58b10ec0f784b11ec972,false
ari-OCTOPUS/ofn-node,lane/self-awareness,f255856eb84f453acdb93bae171d169dc847d5af,false
ari-OCTOPUS/ofn-node,lane/self-awareness-webviewer,2b6311cbf1e6e1b0329d6ccb3aed8c4a4a1095e6,false
ari-OCTOPUS/ofn-node,lane/self-completing-doctor,44129564c46a42ba7a21d2886d2eeb6a65b4c119,false
