agent,env,seed,ttd,discovered,wasted_steps,falsified_assists,hyp_steps
A_prior,deceptive,40,,0,9817,0,0
C_novel,deceptive,40,1342,1,115,0,0
B_hyp,deceptive,40,1013,1,0,0,274
A_prior,deceptive,41,,0,9653,0,0
C_novel,deceptive,41,1569,1,93,0,0
B_hyp,deceptive,41,5125,1,0,0,1294
A_prior,deceptive,42,,0,9444,0,0
C_novel,deceptive,42,1198,1,15,0,0
B_hyp,deceptive,42,339,1,0,0,91
A_prior,deceptive,43,,0,9802,0,0
C_novel,deceptive,43,776,1,45,0,0
B_hyp,deceptive,43,2853,1,0,0,726
A_prior,deceptive,44,,0,9875,0,0
C_novel,deceptive,44,2637,1,162,0,0
B_hyp,deceptive,44,3598,1,0,0,907
A_prior,deceptive,45,,0,9494,0,0
C_novel,deceptive,45,2427,1,150,0,0
B_hyp,deceptive,45,397,1,0,0,105
A_prior,deceptive,46,,0,9598,0,0
C_novel,deceptive,46,993,1,70,0,0
B_hyp,deceptive,46,1403,1,0,0,381
A_prior,deceptive,47,,0,9429,0,0
C_novel,deceptive,47,758,1,13,0,0
B_hyp,deceptive,47,273,1,0,0,60
A_prior,deceptive,48,,0,9594,0,0
C_novel,deceptive,48,781,1,29,0,0
B_hyp,deceptive,48,,0,0,0,2439
A_prior,deceptive,49,,0,9329,0,0
C_novel,deceptive,49,1151,1,95,0,0
B_hyp,deceptive,49,4654,1,0,0,1198
A_prior,deceptive,50,,0,9456,0,0
C_novel,deceptive,50,680,1,19,0,0
B_hyp,deceptive,50,4266,1,0,0,1084
A_prior,deceptive,51,,0,9568,0,0
C_novel,deceptive,51,493,1,5,0,0
B_hyp,deceptive,51,1385,1,0,0,361
A_prior,deceptive,52,,0,9296,0,0
C_novel,deceptive,52,1744,1,114,0,0
B_hyp,deceptive,52,207,1,0,0,57
A_prior,deceptive,53,,0,9825,0,0
C_novel,deceptive,53,532,1,7,0,0
B_hyp,deceptive,53,262,1,0,0,64
A_prior,deceptive,54,,0,9701,0,0
C_novel,deceptive,54,3443,1,171,0,0
B_hyp,deceptive,54,8982,1,0,0,2253
A_prior,deceptive,55,,0,9242,0,0
C_novel,deceptive,55,2781,1,193,0,0
B_hyp,deceptive,55,288,1,0,0,72
A_prior,deceptive,56,,0,9589,0,0
C_novel,deceptive,56,2481,1,161,0,0
B_hyp,deceptive,56,4165,1,0,0,1014
A_prior,deceptive,57,,0,9715,0,0
C_novel,deceptive,57,636,1,31,0,0
B_hyp,deceptive,57,5133,1,0,0,1247
A_prior,deceptive,58,,0,9684,0,0
C_novel,deceptive,58,767,1,0,0,0
B_hyp,deceptive,58,647,1,0,0,161
A_prior,deceptive,59,,0,9658,0,0
C_novel,deceptive,59,547,1,58,0,0
B_hyp,deceptive,59,5559,1,0,0,1343
A_prior,deceptive,60,,0,9151,0,0
C_novel,deceptive,60,3102,1,184,0,0
B_hyp,deceptive,60,1311,1,0,0,345
A_prior,deceptive,61,,0,9738,0,0
C_novel,deceptive,61,432,1,7,0,0
B_hyp,deceptive,61,2843,1,0,0,740
A_prior,deceptive,62,,0,9626,0,0
C_novel,deceptive,62,1298,1,93,0,0
B_hyp,deceptive,62,1150,1,0,0,290
A_prior,deceptive,63,,0,9739,0,0
C_novel,deceptive,63,1530,1,63,0,0
B_hyp,deceptive,63,2564,1,0,0,642
A_prior,deceptive,64,,0,9865,0,0
C_novel,deceptive,64,2168,1,134,0,0
B_hyp,deceptive,64,8686,1,0,0,2256
A_prior,deceptive,65,,0,8870,0,0
C_novel,deceptive,65,1361,1,87,0,0
B_hyp,deceptive,65,362,1,0,0,84
A_prior,deceptive,66,,0,9120,0,0
C_novel,deceptive,66,2095,1,134,0,0
B_hyp,deceptive,66,1118,1,0,0,297
A_prior,deceptive,67,,0,8733,0,0
C_novel,deceptive,67,2718,1,206,0,0
B_hyp,deceptive,67,760,1,0,0,189
A_prior,deceptive,68,,0,9802,0,0
C_novel,deceptive,68,1771,1,72,0,0
B_hyp,deceptive,68,1769,1,0,0,449
A_prior,deceptive,69,,0,9912,0,0
C_novel,deceptive,69,768,1,12,0,0
B_hyp,deceptive,69,3780,1,0,0,961
A_prior,deceptive,70,,0,9459,0,0
C_novel,deceptive,70,767,1,46,0,0
B_hyp,deceptive,70,3364,1,0,0,819
A_prior,deceptive,71,,0,9291,0,0
